/Path;ECO_Multi;Latine_PRO_RTG;Payroll_Multi;QBL_LAL;QBO_Multi;QBO_RTG;QBOAV_Multi;ConversionRate/
1;1;1;1;1;0;0;0;0.00877193
2;1;0;1;1;0;1;1;0.01986755
2;1;0;1;1;0;1;1;0.01986755
3;0;0;1;1;1;1;1;0.011049724
3;0;0;1;1;1;1;1;0.011049724
4;0;1;0;1;1;0;0;0
4;0;1;0;1;1;0;0;0
5;0;0;0;1;1;0;1;0.008064516
5;0;0;0;1;1;0;1;0.008064516
6;1;1;0;1;1;1;0;0.013888889
6;1;1;0;1;1;1;0;0.013888889
6;1;1;0;1;1;1;0;0.013888889
7;1;0;0;1;1;1;1;0.006734007
7;1;0;0;1;1;1;1;0.006734007
7;1;0;0;1;1;1;1;0.006734007
8;0;0;1;1;0;1;0;0.02310231
8;0;0;1;1;0;1;0;0.02310231
8;0;0;1;1;0;1;0;0.02310231
9;0;0;1;1;1;0;1;0.00931677
9;0;0;1;1;1;0;1;0.00931677
9;0;0;1;1;1;0;1;0.00931677
10;1;1;0;1;0;0;0;0.013262599
10;1;1;0;1;0;0;0;0.013262599
10;1;1;0;1;0;0;0;0.013262599
10;1;1;0;1;0;0;0;0.013262599
11;1;0;0;1;0;0;1;0.014150943
11;1;0;0;1;0;0;1;0.014150943
11;1;0;0;1;0;0;1;0.014150943
11;1;0;0;1;0;0;1;0.014150943
12;0;0;0;1;1;1;0;0.011086475
12;0;0;0;1;1;1;0;0.011086475
12;0;0;0;1;1;1;0;0.011086475
12;0;0;0;1;1;1;0;0.011086475
12;0;0;0;1;1;1;0;0.011086475
13;1;0;0;1;1;0;1;0.004201681
13;1;0;0;1;1;0;1;0.004201681
13;1;0;0;1;1;0;1;0.004201681
13;1;0;0;1;1;0;1;0.004201681
13;1;0;0;1;1;0;1;0.004201681
14;0;1;0;0;1;1;1;0.021825397
14;0;1;0;0;1;1;1;0.021825397
14;0;1;0;0;1;1;1;0.021825397
14;0;1;0;0;1;1;1;0.021825397
14;0;1;0;0;1;1;1;0.021825397
15;1;0;1;1;0;0;1;0.021611002
15;1;0;1;1;0;0;1;0.021611002
15;1;0;1;1;0;0;1;0.021611002
15;1;0;1;1;0;0;1;0.021611002
15;1;0;1;1;0;0;1;0.021611002
16;0;1;0;0;0;1;1;0.015686275
16;0;1;0;0;0;1;1;0.015686275
16;0;1;0;0;0;1;1;0.015686275
16;0;1;0;0;0;1;1;0.015686275
16;0;1;0;0;0;1;1;0.015686275
17;1;1;1;1;1;0;1;0.003780718
17;1;1;1;1;1;0;1;0.003780718
17;1;1;1;1;1;0;1;0.003780718
17;1;1;1;1;1;0;1;0.003780718
17;1;1;1;1;1;0;1;0.003780718
18;0;1;0;1;0;0;0;0.003367003
18;0;1;0;1;0;0;0;0.003367003
18;0;1;0;1;0;0;0;0.003367003
18;0;1;0;1;0;0;0;0.003367003
18;0;1;0;1;0;0;0;0.003367003
18;0;1;0;1;0;0;0;0.003367003
